[2025-09-12T05:54:17.172Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-12T05:54:17.279Z] LOGIN_FAILED: Username: invalid_user | Role: admin | IP: ::1 | Reason: User not found
[2025-09-12T05:54:17.479Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid password
[2025-09-12T05:54:17.490Z] LOGIN_FAILED: Username: admin | Role: unknown | IP: ::1 | Reason: Missing credentials
[2025-09-12T06:00:08.793Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid password
[2025-09-12T06:00:09.138Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid password
[2025-09-12T06:00:09.584Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid password
[2025-09-12T06:46:28.491Z] LOGIN_FAILED: Username: admin' OR 1=1 -- | Role: admin | IP: ::1 | Reason: User not found
[2025-09-12T10:41:16.651Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-12T10:59:40.960Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid password
[2025-09-12T11:01:20.739Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-12T11:01:52.672Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-12T11:05:37.372Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-12T11:07:56.811Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-12T11:08:21.886Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-12T11:08:45.445Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-12T11:09:45.512Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-12T11:09:54.340Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-12T11:28:27.569Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-14T05:20:52.942Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid password
[2025-09-14T05:40:38.240Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid password
[2025-09-14T05:40:38.773Z] LOGIN_FAILED: Username: teacher1 | Role: student | IP: ::1 | Reason: User not found
[2025-09-14T05:40:39.297Z] LOGIN_FAILED: Username: teacher2 | Role: student | IP: ::1 | Reason: User not found
[2025-09-15T05:47:04.438Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid password
[2025-09-15T05:47:04.492Z] LOGIN_FAILED: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T05:48:09.500Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T05:55:47.355Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T05:56:51.482Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T05:56:51.546Z] LOGIN_FAILED: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T05:57:26.676Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T06:00:54.050Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T06:00:54.094Z] LOGIN_FAILED: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T06:01:18.001Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T06:02:42.838Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T06:02:42.889Z] LOGIN_FAILED: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T06:03:47.227Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T06:03:47.292Z] LOGIN_FAILED: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T06:04:12.911Z] LOGIN_FAILED: Username: admin | Role: admin | IP: ::1 | Reason: Invalid first-time password
[2025-09-15T06:04:56.678Z] LOGIN_SUCCESS: Username: admin | Role: admin | IP: ::1 | Reason: Successful login
[2025-09-15T06:04:56.813Z] LOGIN_FAILED: Username: teacher1 | Role: teacher | IP: ::1 | Reason: Invalid first-time password
